Rata,main_intake,Age,Peso_kg,Sex,Sesión,Batch,main_intake_treat,Age_treat,Rid
17,0.585,51,0.195,Hembra,3,2,-0.585159390805952,-1.24652792768802,17
17,0.406,54,0.203,Hembra,4,2,-0.636847478764109,-1.02502897935636,17
17,0.597,56,0.199,Hembra,5,2,-0.58169426759088,-0.877363013801916,17
17,0.414,58,0.207,Hembra,6,2,-0.634537396620727,-0.729697048247477,17
17,2.808,61,0.216,Hembra,7,2,0.0567546847861197,-0.508198099915818,17
17,1.368,63,0.228,Hembra,8,2,-0.35906010102251,-0.360532134361378,17
17,2.784,65,0.232,Hembra,9,2,0.0498244383559758,-0.212866168806939,17
17,1.185,68,0.237,Hembra,10,2,-0.411903230052357,0.00863277952472073,17
17,1.494,70,0.249,Hembra,11,2,-0.322676307264255,0.15629874507916,17
17,1.928,72,0.241,Hembra,12,2,-0.197354350985821,0.3039647106336,17
17,4.128,75,0.258,Hembra,13,2,0.43791823844403,0.525463658965259,17
17,1.26,77,0.252,Hembra,14,2,-0.390246209958157,0.673129624519698,17
17,4.352,79,0.256,Hembra,15,2,0.502600538458706,0.820795590074138,17
17,6.408,82,0.267,Hembra,16,2,1.09629164930769,1.0422945384058,17
17,2.67,84,0.267,Hembra,17,2,0.0169057678127927,1.18996050396024,17
17,2.69,86,0.269,Hembra,18,2,0.0226809731712459,1.33762646951468,17
17,4.726,89,0.278,Hembra,19,2,0.610596878661781,1.55912541784634,17
17,1.71,91,0.285,Hembra,20,2,-0.26030408939296,1.70679138340078,17
18,1.837,47,0.167,Hembra,1,2,-0.223631535366783,-1.54185985879689,18
18,NA,49,0.179,Hembra,2,2,NA,-1.39419389324245,18
18,NA,50,0.179,Hembra,2,2,NA,-1.32036091046523,18
18,2.079,51,0.189,Hembra,3,2,-0.153751550529499,-1.24652792768802,18
18,1.56,54,0.195,Hembra,4,2,-0.303618129581359,-1.02502897935636,18
18,0.39,56,0.195,Hembra,5,2,-0.641467643050871,-0.877363013801916,18
18,2.046,58,0.186,Hembra,6,2,-0.163280639370947,-0.729697048247477,18
18,1.242,61,0.207,Hembra,7,2,-0.395443894780765,-0.508198099915818,18
18,2.847,63,0.219,Hembra,8,2,0.0680163352351034,-0.360532134361378,18
18,3.024,65,0.216,Hembra,9,2,0.119126902657414,-0.212866168806939,18
18,1.589,68,0.227,Hembra,10,2,-0.295244081811602,0.00863277952472073,18
18,2.772,70,0.231,Hembra,11,2,0.0463593151409039,0.15629874507916,18
18,1.422,72,0.237,Hembra,12,2,-0.343467046554686,0.3039647106336,18
18,1.904,75,0.238,Hembra,13,2,-0.204284597415965,0.525463658965259,18
18,0.741,77,0.247,Hembra,14,2,-0.540112789010018,0.673129624519698,18
18,1.5,79,0.25,Hembra,15,2,-0.320943745656719,0.820795590074138,18
18,2.048,82,0.256,Hembra,16,2,-0.162703118835102,1.0422945384058,18
18,1.566,84,0.261,Hembra,17,2,-0.301885567973823,1.18996050396024,18
18,1.82,86,0.26,Hembra,18,2,-0.228540459921468,1.33762646951468,18
18,2.926,89,0.266,Hembra,19,2,0.0908283964009936,1.55912541784634,18
18,2.915,91,0.265,Hembra,20,2,0.0876520334538443,1.70679138340078,18
19,0.148,47,0.148,Hembra,1,2,-0.711347627888155,-1.54185985879689,19
19,NA,49,0.165,Hembra,2,2,NA,-1.39419389324245,19
19,NA,50,0.165,Hembra,2,2,NA,-1.32036091046523,19
19,0.696,51,0.174,Hembra,3,2,-0.553107001066537,-1.24652792768802,19
19,0.712,54,0.178,Hembra,4,2,-0.548486836779775,-1.02502897935636,19
19,0.728,56,0.182,Hembra,5,2,-0.543866672493012,-0.877363013801916,19
19,0.398,58,0.199,Hembra,6,2,-0.63915756090749,-0.729697048247477,19
19,1.358,61,0.194,Hembra,7,2,-0.361947703701737,-0.508198099915818,19
19,0.404,63,0.202,Hembra,8,2,-0.637424999299954,-0.360532134361378,19
19,0.206,65,0.206,Hembra,9,2,-0.69459953234864,-0.212866168806939,19
19,1.962,68,0.218,Hembra,10,2,-0.18753650187645,0.00863277952472073,19
19,1.332,70,0.222,Hembra,11,2,-0.369455470667726,0.15629874507916,19
19,1.712,72,0.214,Hembra,12,2,-0.259726568857115,0.3039647106336,19
19,2.061,75,0.229,Hembra,13,2,-0.158949235352107,0.525463658965259,19
19,1.896,77,0.237,Hembra,14,2,-0.206594679559346,0.673129624519698,19
19,1.659,79,0.237,Hembra,15,2,-0.275030863057016,0.820795590074138,19
19,2.51,82,0.251,Hembra,16,2,-0.0292958750548329,1.0422945384058,19
19,3.75,84,0.25,Hembra,17,2,0.328766857169265,1.18996050396024,19
19,1.458,86,0.243,Hembra,18,2,-0.333071676909471,1.33762646951468,19
19,2.032,89,0.254,Hembra,19,2,-0.167323283121864,1.55912541784634,19
19,3.367,91,0.259,Hembra,20,2,0.218171674554886,1.70679138340078,19
20,0.382,47,0.191,Hembra,1,2,-0.643777725194252,-1.54185985879689,20
20,NA,49,0.2,Hembra,2,2,NA,-1.39419389324245,20
20,NA,50,0.2,Hembra,2,2,NA,-1.32036091046523,20
20,0.63,51,0.21,Hembra,3,2,-0.572165178749433,-1.24652792768802,20
20,1.326,54,0.221,Hembra,4,2,-0.371188032275262,-1.02502897935636,20
20,0.458,56,0.229,Hembra,5,2,-0.62183194483213,-0.877363013801916,20
20,2.043,58,0.227,Hembra,6,2,-0.164146920174715,-0.729697048247477,20
20,1.19,61,0.238,Hembra,7,2,-0.410459428712743,-0.508198099915818,20
20,4.32,63,0.24,Hembra,8,2,0.493360209885181,-0.360532134361378,20
20,0.504,65,0.252,Hembra,9,2,-0.608548972507688,-0.212866168806939,20
20,2.25,68,0.25,Hembra,10,2,-0.104373544714724,0.00863277952472073,20
20,4.572,70,0.254,Hembra,11,2,0.566127797401691,0.15629874507916,20
20,3.354,72,0.258,Hembra,12,2,0.214417791071892,0.3039647106336,20
20,1.89,75,0.27,Hembra,13,2,-0.208327241166882,0.525463658965259,20
20,2.136,77,0.267,Hembra,14,2,-0.137292215257907,0.673129624519698,20
20,1.911,79,0.273,Hembra,15,2,-0.202263275540506,0.820795590074138,20
20,2.216,82,0.277,Hembra,16,2,-0.114191393824095,1.0422945384058,20
20,1.946,84,0.278,Hembra,17,2,-0.192156666163213,1.18996050396024,20
20,2.002,86,0.286,Hembra,18,2,-0.175986091159544,1.33762646951468,20
20,1.71,89,0.285,Hembra,19,2,-0.26030408939296,1.55912541784634,20
20,2.32,91,0.29,Hembra,20,2,-0.0841603259601382,1.70679138340078,20
22,1.232,47,0.154,Hembra,1,2,-0.398331497459992,-1.54185985879689,22
22,NA,49,0.164,Hembra,2,2,NA,-1.39419389324245,22
22,NA,50,0.164,Hembra,2,2,NA,-1.32036091046523,22
22,1.038,51,0.173,Hembra,3,2,-0.454350989436988,-1.24652792768802,22
22,1.84,54,0.184,Hembra,4,2,-0.222765254563015,-1.02502897935636,22
22,0.558,56,0.186,Hembra,5,2,-0.592955918039864,-0.877363013801916,22
22,1.086,58,0.181,Hembra,6,2,-0.4404904965767,-0.729697048247477,22
22,0.804,61,0.201,Hembra,7,2,-0.52192089213089,-0.508198099915818,22
22,1.64,63,0.205,Hembra,8,2,-0.280517308147547,-0.360532134361378,22
22,1.477,65,0.211,Hembra,9,2,-0.32758523181894,-0.212866168806939,22
22,2.676,68,0.223,Hembra,10,2,0.0186383294203287,0.00863277952472073,22
22,1.05,70,0.21,Hembra,11,2,-0.450885866221916,0.15629874507916,22
22,1.105,72,0.221,Hembra,12,2,-0.435004051486169,0.3039647106336,22
22,2.31,75,0.231,Hembra,13,2,-0.0870479286393647,0.525463658965259,22
22,1.11,77,0.222,Hembra,14,2,-0.433560250146556,0.673129624519698,22
22,0.454,79,0.227,Hembra,15,2,-0.622986985903821,0.820795590074138,22
22,0.956,82,0.239,Hembra,16,2,-0.478029331406646,1.0422945384058,22
